match_name,gi_num,present_in_rs_v219
Escherichia phage ECML-134,712914839,yes
Escherichia phage 121Q,712914205,yes
Mycobacteriophage RedRock,712914056,yes
Salmonella phage 9NA,712913956,yes
Salmonella phage Chi,712913869,yes
Idiomarinaceae phage 1N2-2,712913800,yes
Mycobacterium phage Soto,712913690,yes
Shewanella sp. phage 1_4,712913441,yes
Mycobacteriophage Taj,712913311,yes
Mesorhizobium phagevB_MloP_Lo5R7ANS,712913234,yes
Escherichia phage vB_EcoM-ep3,712913174,yes
Rhizobium phage vB_RleM_P10VF,712912907,yes
Ruegeria phage DSS3-P1,712912802,yes
Rhizobium phage vB_RleM_PPF1,712912693,yes
Staphylococcus phage P108,712912451,yes
Bacillus phage Waukesha92,712912354,yes
Lactobacillus phage Ld3,712912293,yes
Lactobacillus phage Ld17,712912224,yes
Lactobacillus phage Ld25A,712912161,yes
Escherichia phage vB_EcoM_PhAPEC2,682124280,yes
Escherichia phage bV_EcoS_AHP42,682124203,yes
Bacillus phage Bobb,682123955,yes
Vibrio phage ICP2_2013_A_Haiti,682123897,yes
Escherichia phage vB_EcoP_PhAPEC7,682123813,yes
Escherichia phage bV_EcoS_AKS96,682123738,yes
Listeria phage LMTA-148,682123269,yes
Escherichia phage vB_EcoP_PhAPEC5,682123185,yes
Acinetobacter phage YMC-13-01-C62,682123100,yes
Escherichia phage bV_EcoS_AHS24,682123018,yes
Enterobacteria phage EK99P-1,682122955,yes
Pseudomonas phage MP48,682122904,yes
Listeria phage LP-125,573007037,yes
Listeria phage LP-030-2,573007028,yes
Listeria phage LP-037,572730610,yes
Bacillus phage Page,571798128,yes
Lactobacillus phage phiLdb,571798068,yes
Lactobacillus phage phiJB,571797847,yes
Bacillus phage Blastoid,568192042,yes
Salmonella phage Marshall,568191834,yes
Bacillus phage Grass,568191581,yes
Bacillus phage Pony,568191532,yes
Bacillus phage BigBertha,568191240,yes
Bacillus phage Staley,568191126,yes
Bacillus phage Glittering,568191047,yes
Bacillus phage Riggi,568190967,yes
Bacillus phage Spock,568190683,yes
Bacillus phage phiAGATE,565323637,yes
Enterobacteria phage SSL2009a,565323599,yes
Ralstonia phage RSM1,565323596,yes
Staphylococcus phage Sb-1,564292828,yes
Bacillus phage vB_BanS-Tsamsa,564292548,yes
Pseudomonas phage PPpW-3 DNA,564292481,yes
Pseudomonas phage PPpW-4 DNA,564292430,yes
Salmonella phage SETP3,564102869,yes
Lactobacillus phage LL-Ku,564014228,yes
Pseudomonas phage PAK_P1,563448535,yes
Mycobacterium phage Bruin,563399598,yes
Pseudomonas phage PAK_P4,563399370,yes
Mycobacterium phage Zaka,563399268,yes
Mycobacterium phage Jovo,563399183,yes
Mycobacterium phage Bernardo,563399082,yes
Mycobacterium phage HufflyPuff,563398883,yes
Mycobacterium phage Graduation,563398785,yes
Mycobacterium phage Artemis2UCLA,563398672,yes
Mycobacterium phage Nala,563398524,yes
Mycobacterium phage HanShotFirst,563398432,yes
Pseudomonas phage CHA_P1,563398265,yes
Mycobacterium phage Conspiracy,563398178,yes
Pseudomonas phage phiIBB-PAA2,563398039,yes
Pseudomonas phage PAK_P3,563397873,yes
Mycobacterium phage PhatBacter,563397724,yes
Enterobacteria phage 4MG,563397452,yes
Pseudomonas phage PAK_P2,563397275,yes
Pseudomonas phage PAK_P5,563397110,yes
Mycobacterium phage CloudWang3,563397006,yes
Staphylococcus phage S25-3 DNA,561133277,yes
Staphylococcus phage S25-4 DNA,561133064,yes
Ralstonia phage RSB3 DNA,560186125,yes
Burkholderia phage JG068,560186075,yes
Ralstonia phage RSK1 DNA,560186020,yes
Staphylococcus phage phiRS7,560185957,yes
Streptococcus phage phiBHN167,557745636,yes
Bacillus phage CampHawk,557478762,yes
Streptococcus phage TP-778L,557428123,yes
Staphylococcus phage YMC_09_04_R1988,557308055,yes
Lactobacillus phage PL-1,557307993,yes
Lactobacillus phage J-1,557307926,yes
Mycobacterium phage Fredward,557307743,yes
Salmonella phage SETP13,557307672,yes
Cyanophage PP,557307628,yes
Enterobacteria phage fiAA91-ss,557307584,yes
Shigella phage SfIV,557307526,yes
Vibrio phage VPUSM 8,557307474,yes
Pseudomonas phage MPK6,557307421,yes
Erwinia phage FE44,557307365,yes
Propionibacterium phage PHL111M01,543171632,yes
Propionibacterium phage PHL113M01,543171587,yes
Propionibacterium phage PHL114L00,543171540,yes
Propionibacterium phage Enoki,543171494,yes
Propionibacterium phage PHL060L00,543171447,yes
Propionibacterium phage PHL071N05,543171401,yes
Propionibacterium phage PHL010M04,543171355,yes
Propionibacterium phage PHL067M10,543171309,yes
Propionibacterium phage PHL112N00,543171262,yes
Mycobacterium phage Quink,543171015,yes
Mycobacterium phage PhrostyMug,543170916,yes
Mycobacterium phage Adawi,543170817,yes
Mycobacterium phage Dylan,543170498,yes
Mycobacterium phage Sarfire,543170398,yes
Escherichia phage 2 JES-2013,543170177,yes
Staphylococcus phage JS01,538397808,yes
Pseudomonas phage PaBG,530787714,yes
Bacillus phage Wip1,530787679,yes
Pseudomonas phage MPK7,530787625,yes
Staphylococcus phage vB_SauM_Remus,530787450,yes
Mycobacterium phage AnnaL29,530787059,yes
Mycobacterium phage LittleCherry,530786971,yes
Myobacteriophage Goku,530786827,yes
Mycobacterium phage Crossroads,530547290,yes
Mycobacteriophage Wheeler,530547193,yes
Mycobacterium phage Jabbawokkie,530547084,yes
Mycobacteriophage Daenerys,530546981,yes
Mycobacterium phage Wanda,530546800,yes
Mycobacterium phage Redno2,530546568,yes
Mycobacterium phage Contagion,530546427,yes
Mycobacterium phage Sneeze,530546329,yes
Myobacteriophage Phelemich,530546233,yes
Mycobacterium phage Trouble,530546138,yes
Mycobacterium phage KayaCho,530546042,yes
Mycobacteriophage Velveteen,530545941,yes
Mycobacterium phage DrDrey,530545796,yes
Myobacteriophage Adzzy,530545699,yes
Mycobacterium phage Catdawg,530545570,yes
Mycobacterium phage Hamulus,530545464,yes
Mycobacterium phage Bobi,530545356,yes
Myobacteriophage Papyrus,530545183,yes
Mycobacterium phage Whirlwind,530545054,yes
Streptococcus phage SP-QS1,526246099,yes
Paenibacillus phage phiIBB_Pl23,526245010,yes
Puniceispirillum phage HMO-2011,526244935,yes
Staphylococcus phage SA13,526244872,yes
Lactococcus phage BM13,526244816,yes
Lactococcus phage jm2,526244756,yes
Shigella phage SfII,526244636,yes
Lactococcus phage phi7,526244578,yes
Lactococcus phage jm3,526244525,yes
Lactococcus phage 340,526244466,yes
Lactococcus phage P680,526241733,yes
Cellulophaga phage phi14:2,526178634,yes
Cellulophaga phage phi12a:1,526178379,yes
Cellulophaga phage phi39:1,526178330,yes
Cellulophaga phage phi13:2,526178202,yes
Cellulophaga phage phi10:1,526178095,yes
Staphylococcus phage SA12,526178036,yes
Cellulophaga phage phi46:1,526177981,yes
Cellulophaga phage phi19:1,526177866,yes
Cellulophaga phage phi17:2,526177667,yes
Cellulophaga phage phi12:2,526177653,yes
Cellulophaga phage phi38:1,526177551,yes
Cellulophaga phage phi17:1,526177484,yes
