match_name,gi_num,present_in_rs_v219
Clostridium phage phiCPV4,392972653,yes
Salmonella phage SPN9CC,389060488,yes
Xanthomonas phage vB_XveM_DIBBI,389060400,yes
Clostridium phage phiCP7R,389060373,yes
Bacillus phage PBC1,389060322,yes
Cronobacter phage CR3,389059862,yes
Pseudomonas phage Lu11,388684650,yes
Acinetobacter bacteriophage AP22,388570767,yes
Salisaeta icosahedral phage 1,388570709,yes
Clostridium phage PhiS63,388570630,yes
Mycobacterium phage SWU1,388570523,yes
Escherichia phage bV_EcoS_AKFV33,388570360,yes
Staphylococcus phage TEM123,388570316,yes
Pseudomonas phage vB_Pae-Kakheti25,388542659,yes
Pseudomonas phage vB_Pae-TbilisiM32,387935429,yes
Enterococcus phage EF62phi,384519756,yes
Salmonella phage SE2,375267221,yes
Bacteroides phage B124-14,374671600,yes
Erwinia phage PEp14,374531848,yes
Synechococcus phage S-CBS4,374531742,yes
Pseudomonas phage vB_PaeS_PMG1,374531645,yes
Pseudomonas phage Bf7,374531598,yes
Pseudomonas phage phi297,374531244,yes
Salmonella phage SPN1S,374531191,yes
Salmonella phage SS3e,373231359,yes
Rhodococcus phage REQ1,372450032,yes
Rhodococcus phage REQ3,372449971,yes
Rhodococcus phage RER2,372449904,yes
Rhodococcus phage REQ2,372449821,yes
Rhodococcus phage RRH1,372449800,yes
Rhodococcus phage RGL3,372449733,yes
Cyanophage NATL2A-133,372217834,yes
Cyanophage NATL1A-7,372217768,yes
Cyanophage 9515-10a,372217712,yes
Cyanophage P-SSP2,372217655,yes
Nocardia phage NBR1,372217586,yes
Escherichia phage vB_EcoM_CBA120,372199367,yes
Pseudomonas phage OBP,371671369,yes
Helicobacter phage phiHP33,371671341,yes
Staphylococcus phage S24-1,371671319,yes
Bacillus phage W.Ph.,371671060,yes
Campylobacter phage CPX,371670910,yes
Vibrio phage SIO-2,371496326,yes
Shigella phage EP23,371496268,yes
Planktothrix phage PaV-LD,371496125,yes
Stenotrophomonas phage phiSHP2,363542401,yes
Salmonella phage PVP-SE1,363539522,yes
Gordonia phage GRU1,359802358,yes
Gordonia phage GTE5,359802265,yes
Gordonia phage GTE7,358356850,yes
Yersinia phage phiR1-37,358356482,yes
Vibrio phage VCY-phi,358356470,yes
Mycobacterium phage Giles,358356445,yes
Rhodobacter phage RcapMu,356870838,yes
Synechococcus phage S-CBS1,356870794,yes
Pediococcus phage clP1,356870736,yes
Escherichia phage HK75,356870677,yes
Escherichia phage HK639,356870600,yes
Salmonella phage SFP10,351518443,yes
Burkholderia phage BcepIL02,347750411,yes
Escherichia phage vB_EcoP_G7C,345461828,yes
Salmonella phage 7-11,345461107,yes
Thermus phage TMA,343960381,yes
Pantoea phage LIMEzero,338827142,yes
Bdellovibrio phage phi1402,338826915,yes
Gordonia phage GTE2,338826857,yes
Enterobacteria phage K30,338826807,yes
Synechococcus phage S-CRM01,333798163,yes
Clostridium phage phiCD38-2,333798107,yes
Campylobacter phage NCTC12673,332672312,yes
Vibrio phage CTX chromosome I,332672294,yes
Roseobacter phage RDJL Phi 1,331028054,yes
Synechococcus phage S-CBS3,331028007,yes
Synechococcus phage S-CBS2,331027904,yes
Shigella phage Shfl2,330858525,yes
Shigella phage Shfl1,330858444,yes
Propionibacterium phage PAD20 endogenous virus,330858398,yes
Propionibacterium phage PAS50 endogenous virus,330858351,yes
Brochothrix phage BL3,327409390,yes
Ralstonia phage PE226,327198628,yes
Erwinia phage phiEt88,327198559,yes
Pseudoalteromonas phage H105_1,327198506,yes
Erwinia phage phiEa104,327198387,yes
Streptococcus phage Dp-1,327198314,yes
Burkholderia phage KS14,327198269,yes
Enterococcus phage EFRM31,327198098,yes
Burkholderia phage KS5,327197998,yes
Lactococcus phage 949,327197843,yes
Brochothrix phage A9,327197643,yes
Brochothrix phage NF5,327197584,yes
Salmonella phage Vi01,326804500,yes
Prochlorococcus phage P-SSM7,326784440,yes
Synechococcus phage S-SSM5,326784214,yes
Prochlorococcus phage Syn1,326783979,yes
Synechococcus phage S-SSM7,326783659,yes
Synechococcus phage Syn19,326783443,yes
Prochlorococcus phage Syn33,326783215,yes
Prochlorococcus phage P-HM2,326782972,yes
Prochlorococcus phage P-RSM4,326782732,yes
Synechococcus phage S-SM1,326782497,yes
Synechococcus phage S-ShM2,326782266,yes
Prochlorococcus phage P-HM1,326782024,yes
Synechococcus phage S-SM2,326781756,yes
Salmonella phage Vi06,326633040,yes
Enterobacteria phage SPC35,326632894,yes
Pseudomonas phage phiIBB-PF7A,326536907,yes
Clostridium phage phiCD6356,326536847,yes
Aeromonas phage 65,326536409,yes
Acinetobacter phage 133,326536151,yes
Enterobacteria phage 285P,326536103,yes
Tsukamurella phage TPA2,326425018,yes
Pseudomonas phage phi15,326424956,yes
Vibrio phage ICP3,325171272,yes
Vibrio phage ICP2,325171199,yes
Vibrio phage ICP1,325170966,yes
Salmonella phage ST160,318065901,yes
Mycobacterium phage Wee,318065792,yes
Enterobacteria phage vB_EcoM-VR7,314121562,yes
Prochlorococcus phage P-SSM4,312281391,yes
Prochlorococcus phage P-SSM2,312281379,yes
Acinetobacter phage Acj9,311993272,yes
Enterobacteria phage CC31,311992992,yes
Acinetobacter phage Acj61,311992750,yes
Acinetobacter phage Ac42,311992494,yes
Aeromonas phage phiAS5,310722466,yes
Aeromonas phage phiAS4,310722194,yes
Shigella phage SP18,308814351,yes
Staphylococcus phage SAP-26,304443238,yes
Enterobacteria phage RB16,304373555,yes
Mycobacterium phage LeBron,304360949,yes
Mycobacterium phage Angelica,304360758,yes
Clostridium phage phiCTP1,304360662,yes
Enterobacteria phage IME08,299778956,yes
Streptomyces phage phiSASD1,298103485,yes
Klebsiella phage KP15,294661423,yes
Klebsiella phage KP34,294661411,yes
Mycobacterium phage Ardmore,291084859,yes
Pseudomonas phage LUZ7,282599392,yes
Shigella phage phiSboM-AG3,282599175,yes
Deftia phage phiW-14,282598938,yes
Pseudomonas phage LIT1,282598847,yes
Clavibacter phage CMP1,282598772,yes
Enterococcus phage phiEf11,282598706,yes
Mycobacterium phage Peaches,282598606,yes
Enterococcus phage phiFL2A,281416490,yes
Enterococcus phage phiFL4A,281416434,yes
Streptococcus phage Abc2,281416385,yes
Enterococcus phage phiFL1A,281416323,yes
Klebsiella phage KP32,281416278,yes
Enterococcus phage phiFL3A,281416213,yes
Vibrio phage N4,281416165,yes
Mycobacterium phage ET08,281415946,yes
Pseudomonas phage phi-2,281306659,yes
Escherichia phage D108,281199644,yes
Sodalis phage SO-1,273810554,yes
Xylella phage Xfas53,273810419,yes
Streptococcus phage ALQ13.2,273809728,yes
Aggregatibacter phage S1249,273809542,yes
Pseudomonas phage phi2954 segment L,269838911,yes
Ralstonia phage RSL1,269838879,yes
Staphylococcus phage P954,257136356,yes
Synechococcus phage S-RSM4,255928922,yes
Salmonella phage c341,255252682,yes
Burkholderia phage KS9,255033713,yes
Cyanophage PSS2,254729462,yes
Enterobacteria phage St-1,242346741,yes
Streptococcus phage M102,242345571,yes
Mycobacterium phage Angel,239590011,yes
Staphylococcus phage phiPVL-CN125,239507361,yes
Vibrio phage VEJphi,238821372,yes
Streptococcus phage PH10,238821317,yes
Streptococcus phage 5093,238801880,yes
Enterobacteria phage WV8,238801731,yes
Xanthomonas phage phiL7,238695587,yes
Enterobacteria phage JS10,238695156,yes
Enterobacteria phage JSE,238694878,yes
Roseophage DSS3P2,237651540,yes
Roseophage EE36P1,237651460,yes
Lactococcus phage P087,229604969,yes
Vibrio phage VP93,229604924,yes
Enterobacteria phage RB14,228861315,yes
Enterobacteria phage RB51,228860932,yes
Thermus thermophilus phage IN93,227811306,yes
Enterococcus phage EFAP-1,225626377,yes
Pseudomonas phage phikF77,225626323,yes
Pseudomonas phage phi2954 segment S,223869191,yes
Pseudomonas phage phi2954 segment M,223869186,yes
Mycobacterium phage Phlyer,222435670,yes
Salmonella phage epsilon34,221328618,yes
Erwinia phage phiEa21-4,219681259,yes
Salmonella enterica bacteriophage SE1,219681191,yes
Lactobacillus phage Lv-1,219563197,yes
Pseudomonas phage PB1,219523869,yes
Pseudomonas phage SN,218457801,yes
Bacillus phage TP21-L,216905965,yes
Pseudomonas phage MP29,215479976,yes
Pseudomonas phage MP38,215479924,yes
Staphylococcus phage phiSauS-IPLA88,215401171,yes
Staphylococcus phage phiSauS-IPLA35,215401108,yes
Stenotrophomonas phage S1,213163898,yes
Kluyvera phage Kvp1,212671382,yes
Bacteriophage APSE-2,212499705,yes
Bacillus phage AP50,211956446,yes
Bacillus phage SPO1,209972829,yes
Ralstonia phage RSM3,209901313,yes
Clostridium phage phiCD27,209901237,yes
Pseudomonas phage PAJU2,209552419,yes
Stx2-converting phage 1717,209447126,yes
Enterobacteria phage YYZ-2008,209427726,yes
Staphylococcus phage phi2958PVL,209363552,yes
Clostridium phage 39-O,208429855,yes
Listeria phage P40,207270774,yes
Mycobacterium phage Ramsey,206600181,yes
Mycobacterium phage Pacc40,206600079,yes
Mycobacterium phage Konstantine,206599983,yes
Mycobacterium phage Fruitloop,206599880,yes
Mycobacterium phage Troll4,206599795,yes
Mycobacterium phage Gumball,206599706,yes
Mycobacterium phage Brujita,206599544,yes
Mycobacterium phage Cali,204305660,yes
Mycobacterium phage Solon,203463359,yes
Mycobacterium phage Spud,203460520,yes
Mycobacterium phage Rizal,203457352,yes
Mycobacterium phage Myrna,203454602,yes
Bacteroides phage B40-8,200003956,yes
Burkholderia phage KS10,198449262,yes
Ralstonia phage RSB1,197935853,yes
Listeria phage A511,197322500,yes
Bacillus phage IEBH,197261511,yes
Pseudomonas phage LMA2,197261417,yes
Pseudomonas phage LBL3,197261329,yes
Iodobacteriophage phiPLPE,197085614,yes
Lactobacillus phage Lrm1,195661200,yes
Pseudomonas phage PT2,195546701,yes
Mycobacterium phage Phrann,195546641,yes
Rhizobium phage 16-3,195546530,yes
Mycobacterium phage Phaedrus,194303197,yes
Bacillus phage phi29,194186868,yes
Escherichia coli bacteriophage rv5,194172859,yes
Mycobacterium phage Predator,194100609,yes
Mycobacterium phage Nigel,194100514,yes
Yersinia phage Yepe2,194100467,yes
Klebsiella phage K11,194100415,yes
Enterobacteria phage 13a,194100359,yes
Enterobacteria phage EcoDS1,194100305,yes
Enterobacteria phage BA14,194100252,yes
Mycobacterium phage DD5,192823813,yes
Streptococcus phage PH15,190151415,yes
Pseudomonas phage 201phi2-1,189490161,yes
Salmonella phage phiSG-JL2,189427193,yes
Staphylococcus phage phiMR25,189427122,yes
Enterobacteria phage EPS7,182682799,yes
Lactococcus phage 1706,182637477,yes
Enterobacteria phage G4,176120944,yes
Enterobacterio phage MS2,176120924,yes
Enterobacteria phage Min27,170783609,yes
Salmonella phage E1,170676276,yes
Enterobacteria phage Fels-2,169936017,yes
Lactobacillus johnsonii prophage Lj771,169794178,yes
Salmonella phage Fels-1,169257155,yes
Lactococcus phage asccphi28,168983473,yes
Azospirillum phage Cd,168495103,yes
Streptococcus phage 858,168229273,yes
Halomonas phage phiHAP-1,167832345,yes
Pseudomonas phage LUZ19,167600442,yes
Pseudomonas phage LUZ24,167600373,yes
Enterobacteria phage phiEco32,167583555,yes
Synechococcus phage syn9,162290187,yes
Staphylococcus phage phiMR11,162290107,yes
Pseudomonas phage YuA,162135082,yes
Enterobacteria phage JS98,161622381,yes
Enterobacteria phage phiEcoM-GJ1,161617915,yes
Thalassomonas phage BA3,160700594,yes
Enterobacteria phage PRD1,159192286,yes
Aeromonas phage phiO18P,158518661,yes
Pseudomonas phage LKA1,158345134,yes
Pseudomonas phage LKD16,158345023,yes
Enterococcus phage phiEF24C,158079296,yes
Pseudomonas phage MP22,157834972,yes
Mycobacterium phage U2,157786393,yes
Staphylococcus phage SAP-2,157738587,yes
Listeria phage A006,157325422,yes
Listeria phage P35,157325365,yes
Listeria phage B054,157325284,yes
Listeria phage B025,157325217,yes
Listeria phage A500,157324960,yes
Enterobacteria phage Phi1,157311299,yes
Mycobacterium phage Tweety,157311189,yes
Streptococcus phage P9,157311135,yes
Lactococcus phage KSY1,157311004,yes
Corynebacterium phage P1201,157310906,yes
Thermus phage P74-26,157265412,yes
Thermus phage P23-45,157265294,yes
Bacillus phage 0305phi8-36,156563990,yes
Ralstonia phage p12J,156535141,yes
Escherichia phage phiV10,155370093,yes
Actinomyces phage Av-1,151266287,yes
Burkholderia phage BcepNY3,149882900,yes
Microbacterium phage Min1,149882781,yes
Lactobacillus phage LL-H,148750834,yes
Phormidium phage Pf-WMP3,148747799,yes
Burkholderia phage phi644-2 chromosome,148747798,yes
Enterobacteria phage TLS,148734472,yes
Xanthomonas phage Xop411,148727181,yes
Propionibacterium phage PA6,148727082,yes
Cyanophage Syn5,148724443,yes
Staphylococcus phage 80alpha,148717842,yes
Burkholderia phage BcepGomr,146329912,yes
Ralstonia phage phiRSA1,145708074,yes
Burkholderia phage phiE255 chromosome,134288788,yes
Burkholderia phage phiE202 chromosome,134288739,yes
Clostridium phage phiC2,134287335,yes
Streptococcus phage phi3396,126011062,yes
Burkholderia ambifaria phage BcepF1,126010934,yes
Vibrio phage VP882,126010846,yes
Erwinia amylovora phage Era103,125999960,yes
Geobacillus phage GBSV1,124300942,yes
Staphylococcus phage phiETA3,122891784,yes
Staphylococcus phage phiETA2,122891714,yes
Staphylococcus phage PH15,119967833,yes
Staphylococcus phage CNPH82,119953678,yes
Pseudomonas phage DMS3,119953625,yes
Enterobacteria phage N4,119952179,yes
Yersinia phage Berlin,119637746,yes
Staphylococcus phage phiPVL108,119443652,yes
Staphylococcus phage phiNM3,118725053,yes
Ralstonia phage RSS1,118430711,yes
Thermus phage phiYS40,118197620,yes
Burkholderia prophage phi52237,117676329,yes
Microcystis phage Ma-LMM01,117530171,yes
Bacteriophage RB32,116326222,yes
Stx2-converting phage 86,116221992,yes
Lactococcus phage jj50,115315628,yes
Lactococcus phage 712,115315572,yes
Phormidium phage Pf-WMP4,115304338,yes
Lactococcus phage Q54,115304270,yes
Lactococcus phage P008,115304210,yes
Pseudomonas phage PRR1,113195172,yes
Bacteriophage SPP1,111146921,yes
Clostridium phage phiSM101,110804020,yes
Mycobacterium phage PBI1,109522776,yes
Mycobacterium phage PLot,109522567,yes
Mycobacterium phage PMC,109522084,yes
Mycobacterium phage Pipefish,109521840,yes
Mycobacterium phage Qyrzula,109521758,yes
Mycobacterium phage Catera,109393216,yes
Mycobacterium phage Che12,109392453,yes
Mycobacterium phage Cooper,109392353,yes
Mycobacterium phage Llij,109392186,yes
Mycobacterium phage Orion,109391846,yes
Pasteurella phage F108,109302896,yes
Mycobacterium phage 244,109302753,yes
Aeromonas phage 25,109289986,yes
Mannheimia phage phiMHaA1,109289936,yes
Enterobacteria phage K1-5,108861984,yes
Streptomyces phage mu1_6,93007408,yes
Vibrio phage KVP40,91214232,yes
Burkholderia phage BcepNazgul,91214206,yes
Clostridium phage phi CD119,90592637,yes
Lactobacillus phage KC5a,90592575,yes
Enterobacteria phage WA13,89888652,yes
Enterobacteria phage ID2 Moscow_ID_2001,89888607,yes
Enterobacteria phage ID18,89888094,yes
Sodalis phage phiSG1,89885981,yes
Pseudomonas phage F8,89158250,yes
Pseudomonas phage M6,89155211,yes
Pseudomonas phage PA11,89152533,yes
Pseudomonas phage 119X,89152532,yes
Pseudomonas phage 73,89152531,yes
Pseudomonas phage F10,89152530,yes
Bacillus phage Fah,89152479,yes
Bacillus phage WBeta,85701379,yes
Xanthomonas phage OP2,84662653,yes
Xanthomonas phage OP1,84662593,yes
Enterobacteria phage K1E,83571714,yes
Pseudomonas phage EL,82700933,yes
Enterobacteria phage RTP,81343928,yes
Clostridium phage c-st,80159686,yes
Lactobacillus phage Lc-Nu,77999988,yes
Burkholderia phage Bcep176,77864625,yes
Enterobacteria phage K1F,77118167,yes
Bacillus phage Aurora,77020191,yes
Bacillus phage Gamma,77020137,yes
Chlamydia phage 4,77020114,yes
Flavobacterium phage 11b,77020112,yes
Burkholderia cenocepacia phage BcepB1A,72257064,yes
Haloarcula phage SH1,71647259,yes
Stenotrophomonas phage phiSMA9,70727678,yes
Vibriophage VP4,68299727,yes
Staphylococcus phage 92,66396406,yes
Staphylococcus phage 88,66396333,yes
Staphylococcus phage 52A,66396267,yes
Staphylococcus phage 29,66396191,yes
Staphylococcus phage 55,66396113,yes
Staphylococcus phage 71,66396040,yes
Staphylococcus phage ROSA,66395965,yes
Staphylococcus phage 96,66395885,yes
Staphylococcus phage EW,66395807,yes
Staphylococcus phage 37,66395729,yes
Staphylococcus phage 47,66395656,yes
Staphylococcus phage 3A,66395588,yes
Staphylococcus phage 42e,66395508,yes
Staphylococcus phage 2638A,66395450,yes
Staphylococcus phage 53,66395370,yes
Staphylococcus phage 69,66395293,yes
Staphylococcus phage 187,66395215,yes
Staphylococcus phage 66,66395187,yes
Staphylococcus phage G1,66394949,yes
Staphylococcus phage 85,66394870,yes
Staphylococcus phage X2,66394670,yes
Xanthomonas phage Xp15,66392052,yes
Aeromonas phage 31,66391804,yes
Streptococcus phage 2972,66391759,yes
Enterobacteria phage RB43,66391451,yes
Staphylococcus phage Twort,66391255,yes
Listonella phage phiHSIC,62362363,yes
Enterobacteria phage ES18,62362213,yes
Bacillus phage GIL16c,62327519,yes
Lactobacillus phage phiJL-1,62327085,yes
Synechococcus phage S-PM2,58532811,yes
Enterobacteria phage M13,56718463,yes
Bacillus phage BCJA1c,56694869,yes
Lactobacillus phage LP65,56693048,yes
Pseudomonas phage F116,56692908,yes
Pseudomonas phage B3,56692568,yes
Streptomyces phage VWB,53869480,yes
Vibrio phage KSF-1phi,52221121,yes
Enterobacteria phage P22 virus,51236723,yes
Salmonella phage 118970_sal2,49248530,yes
Vibrio phage Vf33,49248521,yes
Actinoplanes phage phiAsp2,48697401,yes
Lactobacillus phage phiAT3,48697258,yes
Burkholderia phage BcepC6B,48697190,yes
Pseudomonas phage PaP2,48697070,yes
Burkholderia cenocepacia phage BcepMu,48696910,yes
Vibrio phage VP5,48696682,yes
Vibrio phage VP2,48696638,yes
Burkholderia phage Bcep43,47842848,yes
Burkholderia phage Bcep781,47835019,yes
Burkholderia phage Bcep1,47777280,yes
Staphylococcus phage phiSLT,47073736,yes
Klebsiella phage phiKO2,46402086,yes
Enterobacteria phage T5,46401737,yes
Enterobacteria phage P1,46401626,yes
Enterobacteria phage ST104,46358648,yes
Enterobacteria phage T1,45686283,yes
Lactococcus phage phiLC3,45597386,yes
Spiroplasma phage SVTS2,45597171,yes
Staphylococcus phage 77,41189515,yes
Bordetella phage BPP-1,41179361,yes
Lactobacillus prophage Lj928,41179287,yes
Lactobacillus prophage Lj965,41179217,yes
Enterobacteria phage PsP3,41057352,yes
Enterobacteria phage Sf6,41057278,yes
Streptomyces phage phiBT1,40806958,yes
Streptococcus prophage EJ-1,39653674,yes
Burkholderia phage phi1026b,38707890,yes
Enterobacteria phage Felix 01,38707640,yes
Bacillus phage Bam35c,38640276,yes
Aeromonas phage Aeh1,38639923,yes
Mycobacterium phage Gengar,38638403,yes
Pseudomonas phage D3112,38229112,yes
Aeromonas phage 44RR2.8t,37651481,yes
Yersinia phage PY54,33770508,yes
Enterobacteria phage RB49,33620426,yes
Pseudomonas phage phiKMV,33300811,yes
Streptococcus phage SM1,32469420,yes
Enterobacteria phage RB69,32453484,yes
Xanthomonas phage Xp10,32128412,yes
Enterobacteria phage SP6,31880044,yes
Bacteriophage Aaphi23,31543997,yes
Bacillus prophage phBC6A52,31415816,yes
Bacillus prophage phBC6A51,31415740,yes
Streptococcus phage C1,31072008,yes
Enterobacteria phage BP-4795,31044225,yes
Yersinia pestis phage phiA1122,30387453,yes
Lactococcus phage 4268,30089861,yes
Yersinia phage L-413C,30065704,yes
Staphylococcus prophage phiN315,30043925,yes
Vibrio phage VGJphi,30039743,yes
Rhodothermus phage RM378,30027774,yes
Bacteriophage PSA,29789895,yes
Mycobacterium phage Barnyard,29566975,yes
Mycobacterium phage Omega,29566737,yes
Mycobacterium phage Bxz1,29566511,yes
Mycobacterium phage Corndog,29566284,yes
Mycobacterium phage Rosebush,29566193,yes
Mycobacterium phage Che9c,29566108,yes
Mycobacterium phage Cjw1,29565879,yes
Staphylococcus phage phiP68,29565743,yes
Staphylococcus phage 44AHJD,29565721,yes
Pseudomonas phage gh-1,29366701,yes
Enterobacteria phage T4,29366675,yes
Streptococcus phage DT1,29165635,yes
Pseudomonas phage phiKZ,29134936,yes
Staphylococcus phage CNPx,29028667,yes
Staphylococcus phage SLPW,29028617,yes
Staphylococcus phage 11,29028563,yes
Streptococcus prophage 315.6,28876437,yes
Streptococcus prophage 315.5,28876381,yes
Streptococcus prophage 315.4,28876316,yes
Streptococcus pyogenes phage 315.3,28876263,yes
Streptococcus prophage 315.2,28876202,yes
Streptococcus prophage 315.1,28876145,yes
Acinetobacter phage AP205,28173057,yes
Vibrio phage VHML,27311175,yes
Vibrio phage VpV262,27151468,yes
Streptococcus phage MM1,26553442,yes
Vibrio phage VSK,26114633,yes
Enterobacteria phage ST64T,24371534,yes
Salmonella phage ST64B,23505445,yes
Streptococcus phage O1205,23455848,yes
Vibrio phage fs1,23455823,yes
Lactobacillus phage phig1e,23455771,yes
Lactococcus phage r1t,23455719,yes
Enterobacteria phage FI,23455713,yes
Pseudomonas phage phi-12 segment M,22855221,yes
Pseudomonas phage phi-12 segment S,22855216,yes
Pseudomonas phage phi12 segment L,22855209,yes
Pseudomonas phage phi13 segment L,22855204,yes
Pseudomonas phage phi-13 segment M,22855198,yes
Pseudomonas phage phi-13 segment S,22855193,yes
Bacillus phage B103,22855148,yes
Bacillus phage phi105,22854993,yes
Lactobacillus phage A2,22296522,yes
Lactococcus phage ul36,21716072,yes
Spiroplasma phage 1-C74,20514675,yes
Pseudomonas phage phi-6 segment M,20330569,yes
Pseudomonas phage phi-6 segment L,20330564,yes
Pseudomonas phage phi-6 segment S,20330558,yes
Clostridium phage phi3626,20065963,yes
Propionibacterium phage B5,19718349,yes
Enterobacteria phage SfV,19548987,yes
Spiroplasma phage 4,19387568,yes
Mycobacterium phage TM4,18496886,yes
Enterobacteria phage phiP27,18249864,yes
Sinorhizobium phage PBC5,18071213,yes
Haemophilus phage HP2,17981815,yes
Burkholderia phage phiE125,17975161,yes
Vibrio phage K139,17975105,yes
Pseudomonas phage phi8 segment S,17736965,yes
Pseudomonas phage phi-8 segment M,17736958,yes
Pseudomonas phage phi8 segment L,17736952,yes
Staphylococcus phage phiETA,17426228,yes
Pseudomonas phage phiCTX,17313217,yes
Listeria phage A118,16798783,yes
Myxococcus phage Mx8,15320570,yes
Lactococcus phage BK5-T,14251125,yes
Lactococcus phage TP901-1,13786531,yes
Enterobacteria phage HK620,13559823,yes
Lactococcus phage Tuc2009,13487801,yes
Lactococcus prophage bIL309,13095805,yes
Lactococcus prophage bIL286,13095743,yes
Lactococcus prophage bIL285,13095680,yes
Mycobacterium phage Bxb1,12657854,yes
Bacillus phage GA-1,12248100,yes
Bdellovibrio phage phiMH2K,12085135,yes
Roseophage SIO1,9964607,yes
Mycoplasma phage P1,9910036,yes
Chlamydia phage phiCPAR39,9791176,yes
Staphylococcus phage phiPV83,9635677,yes
Vibrio phage VfO4K68,9635478,yes
Vibrio phage VfO3K6,9635467,yes
Staphylococcus phage PVL proviral DNA,9635165,yes
Streptococcus phage Sfi11,9634983,yes
Chlamydia phage Chp2,9634948,yes
Streptococcus phage 7201,9634626,yes
Enterobacteria phage HK97,9634155,yes
Bacteriophage HK022,9634119,yes
Yersinia phage phiYeO3-12,9633990,yes
Acyrthosiphon pisum bacteriophage APSE-1,9633550,yes
Enterobacteria phage Mu,9633494,yes
Enterobacteria phage VT2-Sakai,9633396,yes
Lactobacillus prophage phiadh,9633000,yes
Streptococcus phage Sfi21,9632937,yes
Streptococcus phage Sfi19,9632893,yes
Pseudoalteromonas phage PM2,9632857,yes
Enterobacteria phage 933W,9632466,yes
Gokushovirinae Bog1183_53,9632287,yes
Vibrio phage fs2,9630761,yes
Enterobacteria phage If1,9630747,yes
Mycoplasma phage MAV1,9630710,yes
Lactococcus phage bIL170,9630566,yes
Bacteriophage N15,9630464,yes
Enterobacteria phage P2,9630327,yes
Enterobacteria phage Qbeta,9630317,yes
Bacillus phage SPBc2,9630125,yes
Lactococcus phage sk1,9629653,yes
Streptococcus phage Cp-1,9629524,yes
Chlamydia phage Chp1,9629143,yes
Lactococcus phage c2,9628660,yes
Haemophilus phage HP1,9628600,yes
Lactococcus phage bIL67,9627909,yes
Pseudomonas phage PP7,9627904,yes
Enterobacteria phage P4,9627507,yes
Enterobacteria phage T7,9627425,yes
Acholeplasma phage L2,9626510,yes
Enterobacteria phage GA,9626425,yes
Enterobacteria phage phiX174 sensu lato,9626372,yes
Pseudomonas phage Pf3,9626316,yes
Enterobacteria phage lambda,9626243,yes
Enterobacteria phage Ike,9626232,yes
Xanthomonas phage Cf1c,9626133,yes
Spiroplasma phage 1-R8A2B,9626109,yes
Acholeplasma phage MV-L1,9625557,yes
Mycobacterium phage L5,9625433,yes
Enterobacteria phage I2-2,9625381,yes
Pseudomonas phage Pf1,9625366,yes
Enterobacteria phage alpha3,9625355,yes
